client\src\hooks\useNeonCursorTrail.tsx:13-20  (block, 8 lines)
client\src\hooks\useSubscriptionFeatures.tsx:105-108  (block, 4 lines)
client\src\hooks\useSubscriptionFeatures.tsx:145-148  (block, 4 lines)
client\src\hooks\useSubscriptionFeatures.tsx:3-6  (block, 4 lines)
client\src\hooks\useSubscriptionFeatures.tsx:49-52  (block, 4 lines)
client\src\utils\unifiedUserSession.ts:134-138  (block, 5 lines)
client\src\utils\unifiedUserSession.ts:146-149  (block, 4 lines)
client\src\utils\unifiedUserSession.ts:159-162  (block, 4 lines)
client\src\utils\unifiedUserSession.ts:171-174  (block, 4 lines)
client\src\utils\unifiedUserSession.ts:179-182  (block, 4 lines)
client\src\utils\unifiedUserSession.ts:190-194  (block, 5 lines)
client\src\utils\unifiedUserSession.ts:198-201  (block, 4 lines)
client\src\utils\unifiedUserSession.ts:205-208  (block, 4 lines)
client\src\utils\unifiedUserSession.ts:212-216  (block, 5 lines)
client\src\utils\unifiedUserSession.ts:221-224  (block, 4 lines)
client\src\utils\unifiedUserSession.ts:276-279  (block, 4 lines)
client\src\utils\unifiedUserSession.ts:30-33  (block, 4 lines)
client\src\utils\unifiedUserSession.ts:49-52  (block, 4 lines)
client\src\utils\unifiedUserSession.ts:63-67  (block, 5 lines)
server\auth\secureAuth.js:105-108  (block, 4 lines)
server\auth\secureAuth.js:15-18  (block, 4 lines)
server\auth\secureAuth.js:22-25  (block, 4 lines)
server\auth\singleAuth.js:1-6  (block, 6 lines)
server\auth\unifiedAuth.js:103-106  (block, 4 lines)
server\auth\unifiedAuth.js:14-18  (block, 5 lines)
server\auth\unifiedAuth.js:26-30  (block, 5 lines)
server\auth\unifiedAuth.js:52-55  (block, 4 lines)
server\auth\unifiedAuth.js:72-75  (block, 4 lines)
server\auth\unifiedAuth.js:87-90  (block, 4 lines)
server\auth\unifiedAuth.js:95-98  (block, 4 lines)
server\comprehensiveAnalytics.ts:109-112  (block, 4 lines)
server\comprehensiveAnalytics.ts:240-243  (block, 4 lines)
server\comprehensiveAnalytics.ts:332-335  (block, 4 lines)
server\conversationContinuity.js:149-152  (block, 4 lines)
server\conversationContinuity.js:15-18  (block, 4 lines)
server\conversationContinuity.js:223-226  (block, 4 lines)
server\conversationContinuity.js:269-272  (block, 4 lines)
server\conversationContinuity.js:290-293  (block, 4 lines)
server\conversationContinuity.js:305-308  (block, 4 lines)
server\conversationContinuity.js:54-57  (block, 4 lines)
server\conversationContinuity.js:9-13  (block, 5 lines)
server\memory\BasicPersonalityAnalyzer.ts:107-110  (block, 4 lines)
server\memory\BasicPersonalityAnalyzer.ts:171-174  (block, 4 lines)
server\memory\BasicPersonalityAnalyzer.ts:207-210  (block, 4 lines)
server\memory\BasicPersonalityAnalyzer.ts:226-229  (block, 4 lines)
server\memory\BasicPersonalityAnalyzer.ts:240-243  (block, 4 lines)
server\memory\BasicPersonalityAnalyzer.ts:268-271  (block, 4 lines)
server\memory\BasicPersonalityAnalyzer.ts:49-52  (block, 4 lines)
server\memory\BasicPersonalityAnalyzer.ts:89-92  (block, 4 lines)
server\memory\BulletproofMemoryManager.ts:129-132  (block, 4 lines)
server\memory\BulletproofMemoryManager.ts:181-184  (block, 4 lines)
server\memory\BulletproofMemoryManager.ts:217-220  (block, 4 lines)
server\memory\BulletproofMemoryManager.ts:275-278  (block, 4 lines)
server\memory\BulletproofMemoryManager.ts:327-330  (block, 4 lines)
server\memory\BulletproofMemoryManager.ts:381-384  (block, 4 lines)
server\memory\BulletproofMemoryManager.ts:530-533  (block, 4 lines)
server\memory\BulletproofMemoryManager.ts:538-541  (block, 4 lines)
server\memory\ComprehensivePersonalityAnalyzer.ts:168-171  (block, 4 lines)
server\memory\ComprehensivePersonalityAnalyzer.ts:211-214  (block, 4 lines)
server\memory\ComprehensivePersonalityAnalyzer.ts:244-247  (block, 4 lines)
server\memory\ConversationContinuityService.ts:138-141  (block, 4 lines)
server\memory\ConversationContinuityService.ts:16-19  (block, 4 lines)
server\memory\ConversationContinuityService.ts:160-163  (block, 4 lines)
server\memory\ConversationContinuityService.ts:227-230  (block, 4 lines)
server\memory\ConversationContinuityService.ts:243-246  (block, 4 lines)
server\memory\ConversationContinuityService.ts:273-276  (block, 4 lines)
server\memory\ConversationContinuityService.ts:336-339  (block, 4 lines)
server\memory\ConversationContinuityService.ts:367-370  (block, 4 lines)
server\memory\ConversationContinuityService.ts:402-405  (block, 4 lines)
server\memory\ConversationContinuityService.ts:411-414  (block, 4 lines)
server\memory\ConversationContinuityService.ts:64-67  (block, 4 lines)
server\memory\ConversationContinuityService.ts:99-102  (block, 4 lines)
server\memory\MemoryAnalyticsService.ts:114-117  (block, 4 lines)
server\memory\MemoryAnalyticsService.ts:15-18  (block, 4 lines)
server\memory\MemoryAnalyticsService.ts:174-177  (block, 4 lines)
server\memory\MemoryAnalyticsService.ts:216-219  (block, 4 lines)
server\memory\MemoryAnalyticsService.ts:266-269  (block, 4 lines)
server\memory\MemoryAnalyticsService.ts:452-455  (block, 4 lines)
server\memory\MemoryAnalyticsService.ts:46-49  (block, 4 lines)
server\memory\MemoryConnectionService.ts:128-131  (block, 4 lines)
server\memory\MemoryConnectionService.ts:15-18  (block, 4 lines)
server\memory\MemoryConnectionService.ts:164-167  (block, 4 lines)
server\memory\MemoryConnectionService.ts:193-196  (block, 4 lines)
server\memory\MemoryConnectionService.ts:211-214  (block, 4 lines)
server\memory\MemoryConnectionService.ts:228-231  (block, 4 lines)
server\memory\MemoryConnectionService.ts:290-293  (block, 4 lines)
server\memory\MemoryConnectionService.ts:42-45  (block, 4 lines)
server\memory\MemoryConnectionService.ts:62-65  (block, 4 lines)
server\memory\MemoryManager.ts:114-118  (block, 5 lines)
server\memory\MemoryManager.ts:180-183  (block, 4 lines)
server\memory\MemoryManager.ts:223-226  (block, 4 lines)
server\memory\MemoryManager.ts:246-249  (block, 4 lines)
server\memory\MemoryManager.ts:39-43  (block, 5 lines)
server\memory\MemoryRetrievalService.ts:16-19  (block, 4 lines)
server\memory\MemoryRetrievalService.ts:173-176  (block, 4 lines)
server\memory\MemoryRetrievalService.ts:225-228  (block, 4 lines)
server\memory\MemoryRetrievalService.ts:259-262  (block, 4 lines)
server\memory\SemanticMemoryService.ts:11-14  (block, 4 lines)
server\memory\SemanticMemoryService.ts:145-148  (block, 4 lines)
server\memory\SemanticMemoryService.ts:187-190  (block, 4 lines)
server\memory\SemanticMemoryService.ts:233-236  (block, 4 lines)
server\memory\SemanticMemoryService.ts:49-52  (block, 4 lines)
server\memory\SemanticMemoryService.ts:80-83  (block, 4 lines)
server\memory\SemanticMemoryService.ts:98-101  (block, 4 lines)
server\middleware\secureAuth.js:103-106  (block, 4 lines)
server\middleware\secureAuth.js:14-18  (block, 5 lines)
server\middleware\secureAuth.js:62-65  (block, 4 lines)
server\middleware\secureAuth.js:76-79  (block, 4 lines)
server\routes\analysis-demo.js:191-194  (block, 4 lines)
server\routes\analysis-demo.js:9-12  (block, 4 lines)
server\routes\analysis-testing.js:10-13  (block, 4 lines)
server\routes\analysis-testing.js:150-153  (block, 4 lines)
server\routes\analysis-testing.js:216-219  (block, 4 lines)
server\routes\analysis-testing.js:81-84  (block, 4 lines)
server\routes\auth.ts:22-25  (block, 4 lines)
server\routes\auth.ts:6-10  (block, 5 lines)
server\routes\comprehensive-analysis.js:103-106  (block, 4 lines)
server\routes\comprehensive-analysis.js:214-217  (block, 4 lines)
server\routes\comprehensive-analysis.js:278-281  (block, 4 lines)
server\routes\comprehensive-analysis.js:389-392  (block, 4 lines)
server\routes\comprehensive-analysis.js:51-54  (block, 4 lines)
server\routes\comprehensive-analysis.js:9-13  (block, 5 lines)
server\routes\comprehensiveAnalytics.js:137-141  (block, 5 lines)
server\routes\comprehensiveAnalytics.js:14-18  (block, 5 lines)
server\routes\comprehensiveAnalytics.js:188-192  (block, 5 lines)
server\routes\comprehensiveAnalytics.js:55-59  (block, 5 lines)
server\routes\comprehensiveAnalytics.js:96-100  (block, 5 lines)
server\routes\debug-clean.ts:33-37  (block, 5 lines)
server\routes\tiered-analysis.js:102-105  (block, 4 lines)
server\routes\tiered-analysis.js:11-14  (block, 4 lines)
server\routes\tiered-analysis.js:136-139  (block, 4 lines)
server\routes\tiered-analysis.js:189-192  (block, 4 lines)
server\routes\tiered-analysis.js:244-247  (block, 4 lines)
server\routes\tiered-analysis.js:286-289  (block, 4 lines)
server\routes\tiered-analysis.js:354-357  (block, 4 lines)
server\routes\tiered-analysis.js:57-60  (block, 4 lines)
server\storage\uidFirstStore.ts:11-12  (block, 2 lines)
server\subscription\SubscriptionManager.ts:105-108  (block, 4 lines)
server\subscription\SubscriptionManager.ts:160-163  (block, 4 lines)
server\subscription\SubscriptionManager.ts:181-184  (block, 4 lines)
server\subscription\SubscriptionManager.ts:217-220  (block, 4 lines)
server\subscription\SubscriptionManager.ts:294-297  (block, 4 lines)
server\subscription\SubscriptionManager.ts:331-334  (block, 4 lines)
server\subscription\SubscriptionManager.ts:382-385  (block, 4 lines)
server\subscription\SubscriptionManager.ts:412-415  (block, 4 lines)
server\vrTherapyEngine.ts:128-131  (block, 4 lines)
server\vrTherapyEngine.ts:209-212  (block, 4 lines)
server\vrTherapyEngine.ts:291-294  (block, 4 lines)
server\vrTherapyEngine.ts:390-393  (block, 4 lines)
server\vrTherapyEngine.ts:42-45  (block, 4 lines)
server\vrTherapyEngine.ts:457-460  (block, 4 lines)
